Left Wing,Center Back,Center Forward,Left Back,Right Back
67+2,68+2,66+2,71+2,71+2
71+2,41+2,70+2,48+2,48+2
68+2,65+2,69+2,66+2,66+2
47+2,70+2,48+2,61+2,61+2
35+2,70+2,35+2,59+2,59+2
66+2,70+2,66+2,70+2,70+2
70+2,36+2,69+2,44+2,44+2
65+2,39+2,68+2,41+2,41+2
,,,,
45+2,71+2,46+2,64+2,64+2
,,,,
70+2,64+2,71+2,64+2,64+2
67+2,69+2,65+2,72+2,72+2
52+2,71+2,50+2,67+2,67+2
70+2,50+2,69+2,56+2,56+2
62+2,47+2,67+2,42+2,42+2
,,,,
70+2,47+2,70+2,53+2,53+2
68+2,72+2,69+2,70+2,70+2
72+2,48+2,71+2,52+2,52+2
48+2,71+2,51+2,60+2,60+2
69+2,39+2,67+2,50+2,50+2
65+2,69+2,65+2,68+2,68+2
59+2,52+2,65+2,44+2,44+2
72+2,43+2,70+2,54+2,54+2
60+2,73+2,60+2,69+2,69+2
64+2,41+2,67+2,41+2,41+2
69+2,66+2,70+2,68+2,68+2
44+2,71+2,49+2,63+2,63+2
73+2,34+2,71+2,43+2,43+2
61+2,72+2,61+2,70+2,70+2
69+2,67+2,68+2,70+2,70+2
58+2,71+2,58+2,67+2,67+2
,,,,
72+2,47+2,71+2,53+2,53+2
62+2,70+2,62+2,69+2,69+2
57+2,70+2,58+2,66+2,66+2
68+2,62+2,67+2,66+2,66+2
71+2,43+2,71+2,49+2,49+2
72+2,50+2,71+2,56+2,56+2
64+2,47+2,68+2,44+2,44+2
71+2,50+2,70+2,54+2,54+2
,,,,
70+2,62+2,71+2,65+2,65+2
68+2,50+2,69+2,57+2,57+2
71+2,57+2,72+2,59+2,59+2
69+2,46+2,71+2,48+2,48+2
57+2,71+2,59+2,66+2,66+2
70+2,54+2,70+2,56+2,56+2
73+2,66+2,71+2,70+2,70+2
50+2,70+2,50+2,65+2,65+2
53+2,71+2,55+2,64+2,64+2
65+2,69+2,62+2,71+2,71+2
70+2,54+2,68+2,62+2,62+2
70+2,49+2,69+2,57+2,57+2
59+2,71+2,58+2,70+2,70+2
,,,,
68+2,67+2,66+2,71+2,71+2
69+2,69+2,69+2,69+2,69+2
71+2,43+2,70+2,51+2,51+2
71+2,51+2,70+2,58+2,58+2
69+2,42+2,70+2,46+2,46+2
70+2,67+2,70+2,67+2,67+2
68+2,66+2,67+2,69+2,69+2
72+2,44+2,71+2,51+2,51+2
65+2,56+2,67+2,58+2,58+2
69+2,47+2,70+2,52+2,52+2
71+2,43+2,71+2,48+2,48+2
67+2,42+2,69+2,45+2,45+2
,,,,
68+2,42+2,71+2,44+2,44+2
68+2,45+2,69+2,46+2,46+2
67+2,47+2,68+2,47+2,47+2
64+2,68+2,61+2,70+2,70+2
64+2,50+2,67+2,47+2,47+2
47+2,71+2,48+2,65+2,65+2
,,,,
53+2,71+2,54+2,67+2,67+2
65+2,71+2,66+2,68+2,68+2
66+2,68+2,65+2,71+2,71+2
56+2,70+2,58+2,66+2,66+2
69+2,63+2,68+2,66+2,66+2
66+2,64+2,66+2,65+2,65+2
62+2,72+2,61+2,70+2,70+2
64+2,72+2,64+2,71+2,71+2
60+2,71+2,58+2,70+2,70+2
72+2,44+2,72+2,50+2,50+2
55+2,70+2,57+2,65+2,65+2
68+2,69+2,66+2,71+2,71+2
69+2,47+2,71+2,49+2,49+2
45+2,70+2,44+2,63+2,63+2
50+2,71+2,49+2,66+2,66+2
70+2,46+2,70+2,48+2,48+2
70+2,44+2,71+2,51+2,51+2
66+2,72+2,65+2,70+2,70+2
72+2,43+2,72+2,50+2,50+2
69+2,44+2,68+2,52+2,52+2
64+2,44+2,67+2,44+2,44+2
72+2,48+2,71+2,59+2,59+2
72+2,47+2,70+2,54+2,54+2
71+2,46+2,67+2,56+2,56+2
68+2,70+2,68+2,71+2,71+2
71+2,45+2,69+2,52+2,52+2
40+2,70+2,42+2,59+2,59+2
66+2,63+2,65+2,66+2,66+2
70+2,46+2,69+2,56+2,56+2
71+2,40+2,69+2,48+2,48+2
71+2,48+2,71+2,54+2,54+2
64+2,69+2,65+2,68+2,68+2
58+2,72+2,57+2,70+2,70+2
65+2,71+2,63+2,70+2,70+2
70+2,52+2,69+2,58+2,58+2
70+2,60+2,72+2,62+2,62+2
72+2,52+2,71+2,60+2,60+2
66+2,73+2,66+2,70+2,70+2
64+2,65+2,62+2,70+2,70+2
,,,,
68+2,67+2,68+2,66+2,66+2
71+2,46+2,70+2,52+2,52+2
71+2,63+2,70+2,66+2,66+2
,,,,
65+2,67+2,66+2,66+2,66+2
65+2,69+2,66+2,68+2,68+2
53+2,70+2,53+2,67+2,67+2
69+2,39+2,68+2,47+2,47+2
70+2,37+2,70+2,46+2,46+2
70+2,66+2,69+2,71+2,71+2
,,,,
71+2,52+2,69+2,57+2,57+2
66+2,43+2,69+2,44+2,44+2
71+2,41+2,69+2,49+2,49+2
48+2,71+2,48+2,64+2,64+2
55+2,71+2,56+2,67+2,67+2
65+2,68+2,62+2,70+2,70+2
66+2,69+2,68+2,67+2,67+2
71+2,67+2,71+2,67+2,67+2
71+2,53+2,72+2,53+2,53+2
70+2,55+2,69+2,62+2,62+2
72+2,47+2,71+2,53+2,53+2
,,,,
58+2,71+2,58+2,66+2,66+2
66+2,68+2,67+2,67+2,67+2
67+2,69+2,67+2,71+2,71+2
59+2,70+2,60+2,68+2,68+2
52+2,71+2,53+2,65+2,65+2
54+2,71+2,55+2,66+2,66+2
63+2,48+2,66+2,47+2,47+2
51+2,70+2,52+2,65+2,65+2
41+2,70+2,42+2,60+2,60+2
71+2,67+2,71+2,71+2,71+2
68+2,61+2,65+2,67+2,67+2
43+2,71+2,44+2,62+2,62+2
51+2,72+2,54+2,65+2,65+2
72+2,47+2,71+2,54+2,54+2
,,,,
55+2,71+2,55+2,66+2,66+2
74+2,53+2,72+2,57+2,57+2
70+2,40+2,71+2,45+2,45+2
70+2,44+2,70+2,49+2,49+2
62+2,70+2,63+2,68+2,68+2
68+2,46+2,70+2,49+2,49+2
70+2,49+2,70+2,56+2,56+2
71+2,50+2,70+2,59+2,59+2
71+2,44+2,70+2,54+2,54+2
68+2,55+2,70+2,55+2,55+2
71+2,49+2,70+2,55+2,55+2
60+2,70+2,62+2,67+2,67+2
52+2,70+2,53+2,63+2,63+2
44+2,71+2,46+2,61+2,61+2
71+2,35+2,70+2,45+2,45+2
61+2,72+2,59+2,71+2,71+2
73+2,68+2,73+2,71+2,71+2
61+2,69+2,59+2,71+2,71+2
67+2,69+2,68+2,67+2,67+2
61+2,68+2,59+2,71+2,71+2
68+2,59+2,69+2,61+2,61+2
72+2,47+2,72+2,53+2,53+2
71+2,44+2,71+2,49+2,49+2
,,,,
,,,,
70+2,42+2,68+2,50+2,50+2
71+2,51+2,69+2,57+2,57+2
65+2,70+2,65+2,70+2,70+2
59+2,45+2,64+2,41+2,41+2
44+2,70+2,46+2,61+2,61+2
68+2,63+2,68+2,67+2,67+2
66+2,45+2,68+2,45+2,45+2
55+2,71+2,56+2,63+2,63+2
,,,,
70+2,45+2,70+2,48+2,48+2
53+2,70+2,53+2,67+2,67+2
,,,,
70+2,52+2,70+2,56+2,56+2
71+2,66+2,69+2,69+2,69+2
70+2,49+2,70+2,53+2,53+2
64+2,46+2,68+2,44+2,44+2
60+2,68+2,57+2,70+2,70+2
51+2,71+2,54+2,64+2,64+2
43+2,71+2,44+2,62+2,62+2
49+2,70+2,50+2,63+2,63+2
67+3,44+3,67+3,48+3,48+3
55+2,71+2,55+2,68+2,68+2
68+2,48+2,69+2,51+2,51+2
71+2,60+2,71+2,61+2,61+2
47+2,71+2,47+2,66+2,66+2
69+2,57+2,70+2,60+2,60+2
70+2,67+2,69+2,71+2,71+2
44+2,70+2,48+2,59+2,59+2
69+2,61+2,70+2,63+2,63+2
70+2,60+2,69+2,65+2,65+2
71+2,60+2,70+2,63+2,63+2
68+2,71+2,70+2,69+2,69+2
42+2,71+2,42+2,64+2,64+2
52+2,70+2,50+2,65+2,65+2
65+2,42+2,68+2,43+2,43+2
69+2,65+2,69+2,66+2,66+2
71+2,57+2,71+2,60+2,60+2
59+2,43+2,65+2,38+2,38+2
64+2,66+2,60+2,70+2,70+2
68+2,70+2,68+2,71+2,71+2
54+2,71+2,56+2,65+2,65+2
66+2,65+2,64+2,70+2,70+2
71+2,40+2,70+2,48+2,48+2
68+2,67+2,68+2,68+2,68+2
61+2,73+2,61+2,71+2,71+2
44+2,70+2,45+2,62+2,62+2
71+2,57+2,70+2,63+2,63+2
,,,,
68+2,64+2,67+2,66+2,66+2
71+2,46+2,70+2,57+2,57+2
70+2,60+2,69+2,63+2,63+2
72+2,40+2,72+2,49+2,49+2
68+2,41+2,69+2,46+2,46+2
71+2,68+2,70+2,71+2,71+2
66+2,48+2,68+2,48+2,48+2
66+2,69+2,65+2,71+2,71+2
69+2,42+2,70+2,48+2,48+2
62+2,70+2,60+2,70+2,70+2
71+2,50+2,69+2,58+2,58+2
70+2,43+2,69+2,49+2,49+2
52+2,71+2,51+2,66+2,66+2
67+2,68+2,67+2,69+2,69+2
69+2,50+2,70+2,50+2,50+2
65+2,47+2,67+2,49+2,49+2
45+2,71+2,46+2,62+2,62+2
72+2,46+2,71+2,52+2,52+2
70+2,50+2,69+2,57+2,57+2
68+2,68+2,68+2,66+2,66+2
71+2,48+2,69+2,54+2,54+2
68+2,67+2,66+2,71+2,71+2
42+2,70+2,44+2,59+2,59+2
70+2,44+2,68+2,53+2,53+2
66+2,54+2,69+2,51+2,51+2
,,,,
70+2,53+2,70+2,55+2,55+2
66+2,69+2,66+2,68+2,68+2
72+2,43+2,72+2,52+2,52+2
61+2,69+2,61+2,69+2,69+2
,,,,
48+2,70+2,49+2,63+2,63+2
72+2,44+2,71+2,49+2,49+2
61+2,67+2,58+2,70+2,70+2
67+2,65+2,68+2,66+2,66+2
,,,,
69+2,53+2,68+2,58+2,58+2
70+2,41+2,70+2,48+2,48+2
70+2,38+2,68+2,49+2,49+2
72+2,52+2,72+2,55+2,55+2
72+2,55+2,70+2,62+2,62+2
67+2,72+2,68+2,66+2,66+2
66+2,70+2,67+2,67+2,67+2
70+2,56+2,69+2,58+2,58+2
69+2,65+2,69+2,64+2,64+2
71+2,49+2,71+2,54+2,54+2
,,,,
72+2,46+2,71+2,51+2,51+2
61+2,71+2,59+2,70+2,70+2
64+2,71+2,65+2,70+2,70+2
55+2,71+2,57+2,65+2,65+2
69+2,57+2,70+2,57+2,57+2
64+2,65+2,60+2,70+2,70+2
,,,,
69+2,54+2,70+2,57+2,57+2
53+2,71+2,54+2,65+2,65+2
72+2,46+2,70+2,56+2,56+2
60+2,70+2,61+2,67+2,67+2
65+2,46+2,68+2,44+2,44+2
53+2,71+2,54+2,65+2,65+2
68+2,67+2,67+2,70+2,70+2
54+2,71+2,53+2,67+2,67+2
67+2,71+2,67+2,71+2,71+2
70+2,64+2,71+2,63+2,63+2
69+2,49+2,69+2,54+2,54+2
64+2,47+2,67+2,47+2,47+2
55+2,70+2,53+2,66+2,66+2
54+2,70+2,53+2,68+2,68+2
72+2,44+2,71+2,49+2,49+2
70+2,51+2,69+2,59+2,59+2
55+2,70+2,56+2,65+2,65+2
64+2,69+2,63+2,69+2,69+2
60+2,71+2,61+2,70+2,70+2
70+2,49+2,68+2,61+2,61+2
71+2,42+2,71+2,50+2,50+2
,,,,
,,,,
,,,,
66+2,69+2,63+2,70+2,70+2
62+2,44+2,66+2,43+2,43+2
68+2,69+2,67+2,70+2,70+2
61+2,68+2,59+2,70+2,70+2
72+2,43+2,71+2,48+2,48+2
75+2,47+2,74+2,58+2,58+2
68+2,46+2,69+2,49+2,49+2
66+2,71+2,64+2,70+2,70+2
71+2,47+2,71+2,51+2,51+2
71+2,41+2,70+2,47+2,47+2
70+2,39+2,69+2,49+2,49+2
72+2,49+2,71+2,54+2,54+2
64+2,46+2,66+2,45+2,45+2
70+2,33+2,67+2,47+2,47+2
71+2,51+2,68+2,58+2,58+2
62+2,46+2,65+2,42+2,42+2
71+2,67+2,70+2,70+2,70+2
66+2,68+2,67+2,69+2,69+2
70+2,55+2,68+2,61+2,61+2
68+2,61+2,68+2,64+2,64+2
54+2,70+2,52+2,66+2,66+2
55+2,72+2,54+2,70+2,70+2
71+2,46+2,71+2,53+2,53+2
72+2,35+2,70+2,47+2,47+2
71+2,41+2,71+2,51+2,51+2
51+2,71+2,52+2,65+2,65+2
69+2,63+2,68+2,69+2,69+2
63+2,70+2,61+2,71+2,71+2
72+2,60+2,71+2,65+2,65+2
47+2,70+2,47+2,66+2,66+2
58+2,71+2,59+2,68+2,68+2
,,,,
67+2,47+2,68+2,51+2,51+2
68+2,46+2,68+2,49+2,49+2
70+2,42+2,68+2,52+2,52+2
67+2,71+2,67+2,71+2,71+2
71+2,60+2,70+2,64+2,64+2
46+2,70+2,47+2,61+2,61+2
36+2,71+2,38+2,61+2,61+2
68+2,43+2,69+2,48+2,48+2
66+2,45+2,68+2,47+2,47+2
39+2,70+2,40+2,64+2,64+2
68+2,59+2,67+2,63+2,63+2
68+2,41+2,70+2,47+2,47+2
,,,,
,,,,
65+2,69+2,66+2,69+2,69+2
72+2,41+2,71+2,47+2,47+2
63+2,45+2,67+2,44+2,44+2
72+2,39+2,71+2,48+2,48+2
60+2,70+2,59+2,67+2,67+2
65+2,47+2,68+2,46+2,46+2
51+2,71+2,51+2,65+2,65+2
70+2,42+2,70+2,48+2,48+2
71+2,39+2,70+2,50+2,50+2
70+2,52+2,70+2,55+2,55+2
,,,,
59+2,70+2,59+2,68+2,68+2
53+2,70+2,55+2,64+2,64+2
64+2,71+2,64+2,71+2,71+2
45+2,71+2,48+2,63+2,63+2
68+2,64+2,69+2,66+2,66+2
68+2,45+2,69+2,47+2,47+2
61+2,70+2,59+2,71+2,71+2
59+2,69+2,60+2,67+2,67+2
,,,,
70+2,62+2,70+2,64+2,64+2
59+2,71+2,60+2,68+2,68+2
71+2,41+2,71+2,52+2,52+2
69+2,69+2,71+2,69+2,69+2
71+2,39+2,70+2,46+2,46+2
66+2,47+2,68+2,49+2,49+2
66+2,70+2,66+2,71+2,71+2
69+2,64+2,68+2,66+2,66+2
70+2,43+2,68+2,55+2,55+2
65+2,69+2,66+2,68+2,68+2
71+2,51+2,69+2,59+2,59+2
66+2,69+2,65+2,70+2,70+2
63+2,71+2,64+2,65+2,65+2
43+2,70+2,43+2,60+2,60+2
,,,,
61+2,71+2,60+2,69+2,69+2
68+2,65+2,67+2,71+2,71+2
65+2,69+2,64+2,70+2,70+2
50+2,70+2,51+2,64+2,64+2
,,,,
71+2,45+2,71+2,51+2,51+2
69+2,70+2,69+2,70+2,70+2
,,,,
50+2,70+2,51+2,66+2,66+2
60+2,71+2,60+2,67+2,67+2
44+2,70+2,46+2,60+2,60+2
,,,,
56+2,71+2,55+2,70+2,70+2
51+2,70+2,51+2,66+2,66+2
68+2,42+2,69+2,48+2,48+2
45+2,70+2,46+2,63+2,63+2
63+2,69+2,60+2,71+2,71+2
61+2,68+2,58+2,71+2,71+2
70+2,51+2,70+2,57+2,57+2
71+2,47+2,71+2,53+2,53+2
64+2,71+2,64+2,71+2,71+2
69+2,66+2,68+2,71+2,71+2
72+2,40+2,70+2,49+2,49+2
71+2,53+2,70+2,60+2,60+2
69+2,59+2,69+2,60+2,60+2
68+2,40+2,69+2,45+2,45+2
50+2,71+2,51+2,62+2,62+2
61+2,70+2,58+2,70+2,70+2
70+2,60+2,69+2,65+2,65+2
72+2,43+2,71+2,50+2,50+2
70+2,60+2,69+2,64+2,64+2
59+2,69+2,57+2,70+2,70+2
,,,,
68+2,67+2,69+2,65+2,65+2
71+2,61+2,69+2,68+2,68+2
43+2,70+2,44+2,63+2,63+2
68+2,51+2,69+2,52+2,52+2
59+2,70+2,61+2,67+2,67+2
71+2,47+2,71+2,53+2,53+2
58+2,70+2,57+2,69+2,69+2
44+2,71+2,47+2,61+2,61+2
68+2,65+2,68+2,65+2,65+2
66+2,49+2,68+2,50+2,50+2
70+2,42+2,69+2,50+2,50+2
64+2,67+2,62+2,71+2,71+2
,,,,
66+2,70+2,66+2,69+2,69+2
63+2,73+2,63+2,70+2,70+2
59+2,65+2,55+2,71+2,71+2
48+2,70+2,48+2,62+2,62+2
72+2,54+2,70+2,60+2,60+2
65+2,53+2,67+2,52+2,52+2
46+2,70+2,45+2,64+2,64+2
55+2,71+2,54+2,67+2,67+2
69+2,69+2,68+2,70+2,70+2
68+2,51+2,68+2,54+2,54+2
69+2,66+2,69+2,68+2,68+2
68+2,63+2,68+2,65+2,65+2
71+2,47+2,71+2,51+2,51+2
71+2,54+2,72+2,56+2,56+2
70+2,63+2,70+2,64+2,64+2
42+2,71+2,43+2,63+2,63+2
66+2,49+2,68+2,52+2,52+2
54+2,71+2,54+2,67+2,67+2
70+2,40+2,69+2,49+2,49+2
64+2,43+2,68+2,43+2,43+2
61+2,69+2,59+2,70+2,70+2
55+2,70+2,56+2,66+2,66+2
68+2,54+2,69+2,56+2,56+2
68+2,52+2,68+2,56+2,56+2
66+2,68+2,65+2,67+2,67+2
70+2,44+2,67+2,57+2,57+2
66+2,71+2,66+2,69+2,69+2
60+2,71+2,59+2,71+2,71+2
71+2,41+2,70+2,51+2,51+2
68+2,41+2,72+2,45+2,45+2
,,,,
67+2,44+2,69+2,46+2,46+2
42+2,70+2,43+2,61+2,61+2
67+2,69+2,65+2,71+2,71+2
72+2,39+2,70+2,49+2,49+2
70+2,52+2,69+2,59+2,59+2
,,,,
70+2,65+2,70+2,70+2,70+2
67+2,67+2,68+2,65+2,65+2
,,,,
68+2,66+2,69+2,66+2,66+2
70+2,47+2,70+2,54+2,54+2
45+2,71+2,46+2,64+2,64+2
65+2,71+2,66+2,69+2,69+2
70+2,58+2,69+2,60+2,60+2
71+2,65+2,68+2,71+2,71+2
66+2,68+2,65+2,70+2,70+2
64+2,71+2,65+2,69+2,69+2
64+2,42+2,66+2,41+2,41+2
65+2,73+2,67+2,70+2,70+2
69+2,69+2,68+2,71+2,71+2
68+2,57+2,69+2,54+2,54+2
70+2,69+2,70+2,71+2,71+2
56+2,71+2,56+2,68+2,68+2
72+2,39+2,70+2,51+2,51+2
45+2,70+2,45+2,66+2,66+2
68+2,62+2,64+2,70+2,70+2
,,,,
,,,,
70+2,50+2,70+2,57+2,57+2
40+2,70+2,42+2,57+2,57+2
52+2,71+2,53+2,67+2,67+2
67+2,69+2,66+2,69+2,69+2
68+2,40+2,68+2,44+2,44+2
71+2,41+2,69+2,52+2,52+2
60+2,69+2,60+2,67+2,67+2
70+2,67+2,70+2,70+2,70+2
,,,,
60+2,70+2,61+2,65+2,65+2
72+2,49+2,72+2,54+2,54+2
66+2,52+2,68+2,53+2,53+2
69+2,62+2,69+2,66+2,66+2
65+2,70+2,63+2,70+2,70+2
68+2,69+2,66+2,70+2,70+2
72+2,46+2,71+2,54+2,54+2
71+2,47+2,68+2,57+2,57+2
40+2,71+2,40+2,62+2,62+2
70+2,49+2,70+2,57+2,57+2
71+2,52+2,71+2,55+2,55+2
72+2,54+2,70+2,59+2,59+2
70+2,66+2,70+2,68+2,68+2
68+2,70+2,67+2,71+2,71+2
47+2,70+2,48+2,65+2,65+2
62+2,67+2,61+2,71+2,71+2
50+2,71+2,51+2,65+2,65+2
70+2,69+2,70+2,71+2,71+2
72+2,51+2,73+2,55+2,55+2
69+2,51+2,70+2,54+2,54+2
62+2,70+2,60+2,70+2,70+2
,,,,
,,,,
67+2,67+2,69+2,66+2,66+2
55+2,71+2,56+2,65+2,65+2
68+2,67+2,69+2,68+2,68+2
62+2,69+2,60+2,71+2,71+2
68+2,63+2,67+2,66+2,66+2
69+2,53+2,70+2,57+2,57+2
71+2,43+2,70+2,52+2,52+2
40+2,70+2,41+2,62+2,62+2
64+2,69+2,62+2,70+2,70+2
70+2,49+2,70+2,55+2,55+2
68+2,70+2,68+2,71+2,71+2
,,,,
70+2,52+2,69+2,59+2,59+2
70+2,49+2,69+2,59+2,59+2
68+2,68+2,67+2,70+2,70+2
70+2,63+2,69+2,65+2,65+2
52+2,70+2,53+2,65+2,65+2
63+2,71+2,63+2,69+2,69+2
69+2,61+2,66+2,67+2,67+2
67+2,59+2,68+2,59+2,59+2
64+2,68+2,62+2,70+2,70+2
70+2,51+2,69+2,58+2,58+2
67+2,61+2,67+2,63+2,63+2
70+2,48+2,68+2,57+2,57+2
59+2,68+2,55+2,70+2,70+2
70+2,66+2,70+2,69+2,69+2
65+2,51+2,68+2,50+2,50+2
72+2,41+2,71+2,50+2,50+2
69+2,68+2,67+2,71+2,71+2
61+2,72+2,60+2,68+2,68+2
71+2,54+2,71+2,57+2,57+2
71+2,64+2,71+2,67+2,67+2
65+2,72+2,66+2,67+2,67+2
71+2,63+2,71+2,65+2,65+2
67+2,68+2,65+2,70+2,70+2
66+2,68+2,68+2,65+2,65+2
66+2,43+2,69+2,47+2,47+2
,,,,
62+2,43+2,66+2,43+2,43+2
37+2,71+2,38+2,61+2,61+2
57+2,71+2,57+2,68+2,68+2
62+2,70+2,62+2,67+2,67+2
66+2,45+2,68+2,46+2,46+2
,,,,
56+2,74+2,55+2,70+2,70+2
56+2,70+2,56+2,66+2,66+2
69+2,67+2,68+2,70+2,70+2
70+2,68+2,71+2,69+2,69+2
70+2,55+2,68+2,63+2,63+2
72+2,38+2,71+2,49+2,49+2
55+2,71+2,52+2,68+2,68+2
44+2,70+2,46+2,64+2,64+2
72+2,58+2,72+2,63+2,63+2
52+2,71+2,55+2,61+2,61+2
56+2,70+2,57+2,66+2,66+2
55+2,71+2,56+2,66+2,66+2
,,,,
64+2,67+2,62+2,70+2,70+2
72+2,41+2,70+2,51+2,51+2
48+2,70+2,48+2,63+2,63+2
62+2,71+2,63+2,69+2,69+2
44+2,70+2,44+2,62+2,62+2
67+2,53+2,68+2,53+2,53+2
,,,,
71+2,41+2,71+2,48+2,48+2
,,,,
51+2,71+2,52+2,65+2,65+2
68+2,66+2,66+2,68+2,68+2
67+2,68+2,68+2,67+2,67+2
43+2,71+2,44+2,62+2,62+2
69+2,57+2,69+2,61+2,61+2
70+2,44+2,69+2,55+2,55+2
68+2,55+2,67+2,62+2,62+2
,,,,
57+2,70+2,58+2,67+2,67+2
66+2,71+2,65+2,72+2,72+2
69+2,69+2,68+2,70+2,70+2
68+2,50+2,69+2,53+2,53+2
71+2,55+2,71+2,59+2,59+2
48+2,70+2,48+2,63+2,63+2
63+2,70+2,62+2,70+2,70+2
71+2,56+2,71+2,58+2,58+2
57+2,70+2,58+2,65+2,65+2
65+2,72+2,66+2,69+2,69+2
70+2,47+2,70+2,55+2,55+2
64+2,69+2,67+2,64+2,64+2
67+2,50+2,70+2,50+2,50+2
66+2,67+2,65+2,70+2,70+2
60+2,70+2,60+2,68+2,68+2
62+2,71+2,60+2,71+2,71+2
67+2,45+2,70+2,47+2,47+2
69+2,72+2,69+2,71+2,71+2
69+2,65+2,68+2,69+2,69+2
,,,,
45+2,69+2,47+2,64+2,64+2
69+2,44+2,68+2,52+2,52+2
67+2,41+2,69+2,46+2,46+2
62+2,69+2,63+2,67+2,67+2
68+2,64+2,65+2,69+2,69+2
70+2,60+2,70+2,62+2,62+2
60+2,68+2,60+2,66+2,66+2
,,,,
,,,,
68+2,63+2,67+2,67+2,67+2
68+2,56+2,68+2,60+2,60+2
63+2,67+2,60+2,69+2,69+2
67+2,63+2,68+2,63+2,63+2
,,,,
65+2,45+2,68+2,45+2,45+2
,,,,
,,,,
45+2,70+2,42+2,63+2,63+2
71+2,40+2,70+2,48+2,48+2
69+2,57+2,68+2,64+2,64+2
59+2,67+2,59+2,63+2,63+2
46+2,69+2,47+2,61+2,61+2
61+2,69+2,60+2,68+2,68+2
52+2,70+2,51+2,64+2,64+2
68+2,60+2,69+2,62+2,62+2
64+2,65+2,62+2,70+2,70+2
71+2,36+2,68+2,47+2,47+2
65+2,66+2,64+2,69+2,69+2
37+2,70+2,38+2,61+2,61+2
64+2,69+2,63+2,69+2,69+2
68+2,60+2,69+2,61+2,61+2
68+2,61+2,69+2,60+2,60+2
53+2,70+2,53+2,66+2,66+2
68+2,68+2,68+2,69+2,69+2
43+2,70+2,45+2,63+2,63+2
66+2,65+2,65+2,67+2,67+2
51+2,69+2,55+2,63+2,63+2
69+2,54+2,67+2,58+2,58+2
68+2,56+2,66+2,63+2,63+2
70+2,54+2,69+2,60+2,60+2
69+2,43+2,69+2,48+2,48+2
68+2,69+2,69+2,69+2,69+2
68+2,64+2,68+2,66+2,66+2
62+2,48+2,65+2,44+2,44+2
71+2,45+2,69+2,54+2,54+2
59+2,68+2,62+2,63+2,63+2
67+2,59+2,68+2,59+2,59+2
47+2,70+2,47+2,62+2,62+2
66+2,64+2,66+2,67+2,67+2
69+2,57+2,68+2,63+2,63+2
70+2,45+2,70+2,51+2,51+2
60+2,65+2,59+2,65+2,65+2
70+2,64+2,68+2,69+2,69+2
47+2,70+2,47+2,64+2,64+2
70+2,49+2,69+2,55+2,55+2
57+2,70+2,59+2,63+2,63+2
68+2,42+2,71+2,49+2,49+2
71+2,44+2,69+2,52+2,52+2
60+2,68+2,58+2,70+2,70+2
62+2,56+2,66+2,47+2,47+2
70+2,40+2,69+2,51+2,51+2
70+2,46+2,69+2,53+2,53+2
65+2,45+2,67+2,46+2,46+2
46+2,70+2,47+2,63+2,63+2
69+2,69+2,68+2,69+2,69+2
60+2,69+2,60+2,65+2,65+2
66+2,68+2,65+2,70+2,70+2
49+2,70+2,50+2,66+2,66+2
64+2,39+2,66+2,42+2,42+2
64+2,58+2,66+2,54+2,54+2
46+2,69+2,47+2,62+2,62+2
67+2,67+2,67+2,68+2,68+2
58+2,70+2,57+2,68+2,68+2
67+2,68+2,67+2,69+2,69+2
53+2,70+2,51+2,67+2,67+2
50+2,70+2,49+2,65+2,65+2
51+2,69+2,50+2,66+2,66+2
62+2,69+2,64+2,68+2,68+2
68+2,42+2,69+2,46+2,46+2
69+2,47+2,68+2,53+2,53+2
67+2,67+2,67+2,69+2,69+2
60+2,68+2,59+2,68+2,68+2
45+2,70+2,47+2,62+2,62+2
54+2,71+2,56+2,65+2,65+2
63+2,72+2,64+2,68+2,68+2
72+2,43+2,69+2,50+2,50+2
69+2,48+2,68+2,55+2,55+2
70+2,40+2,69+2,49+2,49+2
65+3,68+3,64+3,68+3,68+3
69+2,66+2,67+2,69+2,69+2
72+2,51+2,71+2,54+2,54+2
68+2,68+2,68+2,69+2,69+2
69+2,47+2,68+2,55+2,55+2
68+2,45+2,69+2,49+2,49+2
,,,,
71+2,44+2,70+2,49+2,49+2
48+2,69+2,49+2,64+2,64+2
58+2,73+2,60+2,67+2,67+2
68+2,59+2,68+2,63+2,63+2
55+2,71+2,57+2,67+2,67+2
70+2,52+2,70+2,56+2,56+2
58+2,68+2,58+2,65+2,65+2
54+2,70+2,50+2,67+2,67+2
54+2,69+2,56+2,62+2,62+2
67+2,54+2,67+2,55+2,55+2
69+2,49+2,69+2,54+2,54+2
70+2,47+2,70+2,51+2,51+2
68+2,51+2,69+2,52+2,52+2
70+2,52+2,67+2,59+2,59+2
66+2,67+2,64+2,69+2,69+2
58+2,67+2,58+2,64+2,64+2
70+2,47+2,68+2,54+2,54+2
69+2,72+2,70+2,71+2,71+2
68+2,49+2,69+2,53+2,53+2
67+2,52+2,68+2,51+2,51+2
70+2,57+2,69+2,60+2,60+2
67+2,68+2,65+2,71+2,71+2
,,,,
64+2,66+2,63+2,70+2,70+2
69+2,40+2,69+2,48+2,48+2
70+2,51+2,69+2,57+2,57+2
72+2,37+2,71+2,44+2,44+2
66+2,67+2,65+2,69+2,69+2
68+2,63+2,66+2,69+2,69+2
61+2,52+2,64+2,47+2,47+2
