Club,Jersey Number,ClubID,Position
Internacional,8,2927,RAM
SD Eibar,22,2928,CAM
Stade Rennais FC,6,2929,CM
SK Rapid Wien,10,2930,RM
Club Atlético Talleres,20,2931,LW
SPAL,23,2932,CB
TSG 1899 Hoffenheim,15,2933,CB
KSV Cercle Brugge,1,2934,GK
PFC CSKA Moscow,18,2935,LB
Celtic,22,2936,ST
West Ham United,41,2937,CDM
Atlético Mineiro,9,2938,ST
Sheffield Wednesday,1,2939,GK
Boavista FC,1,2940,GK
Patronato,14,2941,RM
Unión de Santa Fe,28,2942,CB
Boca Juniors,14,2943,RB
Real Valladolid CF,19,2944,CF
Independiente Santa Fe,30,2945,LDM
Henan Jianye FC,9,2946,ST
RSC Anderlecht,4,2947,CB
Atlético Mineiro,13,2948,LDM
Club Atlético Colón,1,2949,GK
Medipol Ba?ak?ehir FK,14,2950,CDM
Ajax,26,2951,GK
Bologna,15,2952,RB
Preston North End,8,2953,CAM
Hellas Verona,11,2954,ST
SC Braga,11,2955,CM
Deportivo de La Coruña,9,2956,ST
Stade de Reims,16,2957,GK
SK Slavia Praha,5,2958,LCB
Genoa,15,2959,CM
Nottingham Forest,23,2960,RM
Atiker Konyaspor,12,2961,CAM
FC Basel 1893,14,2962,LM
SK Rapid Wien,29,2963,ST
Málaga CF,10,2964,RM
VfB Stuttgart,17,2965,ST
Parma,23,2966,RB
Atiker Konyaspor,3,2967,RCB
SC Heerenveen,6,2968,CDM
FC Girondins de Bordeaux,29,2969,LB
Rionegro Águilas,17,2970,RM
FC Augsburg,28,2971,RM
Dynamo Kyiv,8,2972,RDM
Norwich City,10,2973,LDM
FC København,29,2974,RM
Atlanta United,1,2975,GK
Club Brugge KV,15,2976,CB
FC Augsburg,1,2977,GK
Göztepe SK,5,2978,LB
Be?ikta? JK,20,2979,RCB
1. FSV Mainz 05,2,2980,RB
1. FSV Mainz 05,20,2981,ST
Kayserispor,11,2982,ST
KV Oostende,33,2983,CB
,18,2984,GK
Torino,7,2985,CDM
Rangers FC,6,2986,RCB
Real Valladolid CF,14,2987,LCM
Pachuca,11,2988,ST
Gimnàstic de Tarragona,2,2989,RB
Club Brugge KV,6,2990,CM
Ajax,5,2991,CB
Lecce,25,2992,RCB
Real Valladolid CF,5,2993,LCB
Millonarios FC,13,2994,CAM
Real Oviedo,5,2995,CB
Toronto FC,16,2996,CF
SK Rapid Wien,5,2997,LB
Santa Clara,14,2998,ST
,19,2999,LB
Cardiff City,1,3000,GK
CD Tenerife,16,3001,CDM
Vitória Guimarães,46,3002,CB
Hertha BSC,15,3003,RDM
Nagoya Grampus,22,3004,GK
Angers SCO,7,3005,LM
BK Häcken,10,3006,LW
Udinese,5,3007,RCB
New England Revolution,14,3008,CAM
Atiker Konyaspor,15,3009,LCB
VfL Bochum 1848,10,3010,LM
Orlando Pirates,8,3011,LB
Atlético Huila,12,3012,GK
Willem II,7,3013,RW
Al Hilal,29,3014,LM
Watford,10,3015,RM
New York Red Bulls,33,3016,RCB
SK Slavia Praha,21,3017,ST
Huddersfield Town,11,3018,RM
Göztepe SK,63,3019,CAM
Deportivo Toluca,15,3020,RCM
1. FSV Mainz 05,9,3021,RS
Chievo Verona,29,3022,RB
AZ Alkmaar,34,3023,RB
Junior FC,5,3024,RCB
Western Sydney Wanderers,10,3025,CAM
Kalmar FF,6,3026,RCM
Fenerbahçe SK,3,3027,LB
Atlético Nacional,1,3028,GK
PFC CSKA Moscow,14,3029,LM
Millwall,7,3030,CDM
Chievo Verona,9,3031,LS
Legia Warszawa,2,3032,CB
Al Wehda,17,3033,CAM
SV Darmstadt 98,20,3034,RM
Angers SCO,6,3035,CM
DC United,22,3036,LM
,3,3037,RB
Club Atlético Tigre,14,3038,CAM
SC Freiburg,11,3039,LS
RSC Anderlecht,5,3040,CM
KRC Genk,31,3041,RB
Sheffield Wednesday,20,3042,CAM
MKE Ankaragücü,2,3043,RCB
Atiker Konyaspor,2,3044,RB
Vitória de Setúbal,23,3045,ST
Universidad de Chile,8,3046,CM
Santos,1,3047,GK
Málaga CF,8,3048,LDM
Deportivo Toluca,2,3049,LCB
,6,3050,LCB
1. FC Union Berlin,14,3051,LB
Chapecoense,1,3052,GK
Udinese,2,3053,CB
Leeds United,8,3054,RM
Olympique de Marseille,13,3055,CB
Hannover 96,7,3056,ST
Real Sporting de Gijón,24,3057,RCB
Independiente Medellín,14,3058,RS
Club Atlético Banfield,1,3059,GK
Vélez Sarsfield,22,3060,GK
Foggia,11,3061,LM
Fortuna Sittard,34,3062,RCM
Olympiacos CFP,90,3063,RM
FC Groningen,7,3064,RM
Genoa,15,3065,CM
Aston Villa,7,3066,RCM
FC Girondins de Bordeaux,23,3067,CM
Moreirense FC,23,3068,CB
Hellas Verona,6,3069,LCB
Standard de Liège,8,3070,LCM
Brøndby IF,20,3071,RS
Lech Pozna?,24,3072,RM
Malmö FF,17,3073,CB
Djurgårdens IF,21,3074,LCB
AEK Athens,3,3075,LB
Kashima Antlers,18,3076,ST
Galatasaray SK,17,3077,RB
Brøndby IF,12,3078,LCM
Milan,56,3079,CB
Columbus Crew SC,20,3080,CDM
Olympique de Marseille,7,3081,LW
Cagliari,25,3082,ST
FC Augsburg,20,3083,ST
Al Hilal,4,3084,RCB
ADO Den Haag,5,3085,LCB
CD Aves,23,3086,RW
Kashiwa Reysol,14,3087,RM
CF Reus Deportiu,13,3088,GK
Sporting de Charleroi,1,3089,GK
Hertha BSC,22,3090,RM
SK Brann,3,3091,RCB
Stade Rennais FC,23,3092,RM
Club Atlético Huracán,21,3093,RS
Ulsan Hyundai FC,19,3094,RW
FC Nantes,6,3095,RDM
Universidad de Chile,25,3096,GK
Bursaspor,28,3097,ST
Spartak Moscow,88,3098,LM
SC Freiburg,8,3099,LM
Sint-Truidense VV,10,3100,CM
Suwon Samsung Bluewings,1,3101,GK
Stade Malherbe Caen,29,3102,CB
,2,3103,CB
Chapecoense,5,3104,LB
Belgrano de Córdoba,23,3105,GK
Göztepe SK,25,3106,RCB
Viktoria Plze?,19,3107,LM
Girona FC,12,3108,LCM
Olympiacos CFP,15,3109,RB
PSV,2,3110,CB
Clube Sport Marítimo,17,3111,LB
Rosario Central,5,3112,RDM
Olympique Lyonnais,24,3113,CM
Carpi,27,3114,CAM
Fulham,1,3115,GK
Watford,17,3116,ST
Medipol Ba?ak?ehir FK,29,3117,LM
FC Barcelona,16,3118,CDM
Real Sporting de Gijón,7,3119,RM
Bursaspor,6,3120,CM
Akhisar Belediyespor,34,3121,LM
Sport Club do Recife,2,3122,RB
En Avant de Guingamp,2,3123,RB
Stade de Reims,12,3124,ST
Wolverhampton Wanderers,5,3125,RCB
FC Midtjylland,2,3126,RCB
SD Huesca,7,3127,RM
Livorno,3,3128,CB
UD Las Palmas,21,3129,CB
SC Heerenveen,13,3130,LM
Nottingham Forest,10,3131,CAM
Yeni Malatyaspor,21,3132,CAM
Al Fateh,17,3133,RB
Independiente Medellín,10,3134,LM
Middlesbrough,23,3135,GK
Real Oviedo,7,3136,RM
FC Utrecht,1,3137,GK
Millonarios FC,22,3138,CDM
Boca Juniors,30,3139,CM
Hannover 96,2,3140,LCB
Defensa y Justicia,23,3141,CM
Royal Excel Mouscron,18,3142,ST
Swansea City,26,3143,RB
CD Feirense,22,3144,GK
Atlético Tucumán,2,3145,RCB
Atlanta United,8,3146,LM
Queens Park Rangers,37,3147,RCB
ADO Den Haag,35,3148,LW
Malmö FF,7,3149,CM
Club Brugge KV,10,3150,ST
KRC Genk,18,3151,GK
AC Ajaccio,7,3152,LM
Club Atlético Lanús,4,3153,RB
Göztepe SK,10,3154,LM
Toulouse Football Club,22,3155,CAM
Fenerbahçe SK,6,3156,LB
CA Osasuna,18,3157,RM
PEC Zwolle,21,3158,RM
Málaga CF,9,3159,LS
Granada CF,20,3160,ST
Aston Villa,15,3161,CDM
Lokomotiv Moscow,31,3162,LB
Colo-Colo,5,3163,CB
FC Ingolstadt 04,8,3164,LDM
Fortuna Düsseldorf,9,3165,LM
Sunderland,19,3166,LM
Cardiff City,14,3167,ST
SD Eibar,18,3168,RM
Club Atlético Aldosivi,1,3169,GK
,5,3170,CB
MKE Ankaragücü,75,3171,CB
FC Midtjylland,88,3172,LW
Al Ittihad,29,3173,CAM
Villarreal CF,5,3174,CDM
Cardiff City,17,3175,RCM
VfL Bochum 1848,16,3176,ST
Stade Malherbe Caen,8,3177,LCM
Standard de Liège,5,3178,CDM
Hertha BSC,31,3179,CB
Olympique Lyonnais,7,3180,ST
Al Wehda,11,3181,RM
New York Red Bulls,21,3182,CB
Everton,31,3183,LM
San Lorenzo de Almagro,37,3184,LM
US Salernitana 1919,10,3185,RW
Sheffield Wednesday,10,3186,LDM
Cruzeiro,4,3187,LCB
Yeni Malatyaspor,6,3188,RM
Racing Club,18,3189,RM
West Bromwich Albion,15,3190,CAM
SK Slavia Praha,20,3191,RB
Hellas Verona,10,3192,ST
Seattle Sounders FC,7,3193,RM
FC Lorient,18,3194,RCM
Alanyaspor,30,3195,LM
Fortuna Düsseldorf,20,3196,RS
Leicester City,29,3197,CB
Argentinos Juniors,18,3198,CAM
CD Feirense,36,3199,ST
Botafogo,4,3200,LCB
Sheffield United,4,3201,LCM
SC Braga,3,3202,CB
Unión de Santa Fe,27,3203,ST
Rosenborg BK,1,3204,GK
Vitória Guimarães,15,3205,RB
Estudiantes de La Plata,14,3206,RB
Colo-Colo,8,3207,CDM
,9,3208,ST
Orlando City SC,19,3209,LDM
Columbus Crew SC,9,3210,ST
Club América,7,3211,ST
Club Atlético Tigre,21,3212,LDM
Bristol City,4,3213,LCB
Club Atlético Huracán,5,3214,RCM
AS Saint-Étienne,25,3215,CDM
AD Alcorcón,2,3216,RB
PAOK,7,3217,ST
CD Leganés,23,3218,CDM
FC Girondins de Bordeaux,14,3219,CB
Sporting Lokeren,32,3220,RCB
CD Everton de Viña del Mar,7,3221,RW
Getafe CF,17,3222,RM
SK Slavia Praha,8,3223,LM
Newcastle United,7,3224,RM
CD Leganés,5,3225,CB
Bayer 04 Leverkusen,17,3226,ST
AS Monaco,18,3227,RB
CD Universidad de Concepción,10,3228,CAM
RC Strasbourg Alsace,10,3229,RM
Crotone,10,3230,CAM
Sagan Tosu,32,3231,ST
FC Metz,27,3232,RW
Amiens SC,17,3233,CDM
Palermo,23,3234,LB
Everton,43,3235,RB
Dinamo Zagreb,40,3236,GK
Excelsior,8,3237,LDM
Kaizer Chiefs,25,3238,CAM
CD Leganés,24,3239,CB
Benevento,3,3240,LB
Sporting de Charleroi,24,3241,RCB
Fiorentina,6,3242,CDM
Gimnàstic de Tarragona,14,3243,LS
Crotone,1,3244,GK
Clube Sport Marítimo,8,3245,RM
FC Tokyo,3,3246,LCB
Portimonense SC,11,3247,RW
KV Kortrijk,7,3248,ST
FC Sion,7,3249,CAM
Millonarios FC,10,3250,CAM
Sanfrecce Hiroshima,6,3251,CM
SL Benfica,79,3252,LW
FC Metz,20,3253,ST
Santa Clara,20,3254,CAM
RSC Anderlecht,8,3255,RF
Empoli,2,3256,RB
VfL Bochum 1848,13,3257,LM
Brighton & Hove Albion,7,3258,LCM
Shakhtar Donetsk,23,3259,CAM
IFK Norrköping,4,3260,CB
Real Sociedad,21,3261,ST
Swansea City,25,3262,GK
Adelaide United,8,3263,CDM
Genoa,24,3264,CM
Fortuna Düsseldorf,11,3265,LM
Legia Warszawa,1,3266,GK
Deportivo Cali,11,3267,CM
CD Tenerife,24,3268,LS
Wolverhampton Wanderers,21,3269,GK
FC St. Gallen,10,3270,CAM
SV Werder Bremen,20,3271,ST
New York Red Bulls,62,3272,RB
Lazio,4,3273,RB
Amiens SC,19,3274,RB
1. FC Köln,33,3275,CDM
Fiorentina,5,3276,CB
Granada CF,15,3277,CM
1. FC Nürnberg,8,3278,RB
Cruzeiro,13,3279,LDM
FC Girondins de Bordeaux,15,3280,ST
PSV,14,3281,LW
,14,3282,CB
FC Dallas,10,3283,CAM
Santos,13,3284,LDM
Al Wehda,3,3285,RCB
Independiente,22,3286,CM
Tiburones Rojos de Veracruz,23,3287,RM
Estudiantes de La Plata,6,3288,RCB
Çaykur Rizespor,1,3289,GK
Atlético Nacional,27,3290,LCM
CD Palestino,19,3291,RW
Portimonense SC,7,3292,CM
SC Freiburg,26,3293,GK
Moreirense FC,27,3294,LW
Sint-Truidense VV,15,3295,CF
Rosenborg BK,9,3296,ST
Jeju United FC,14,3297,CM
FC Porto,23,3298,RB
AEK Athens,2,3299,RB
Guangzhou Evergrande Taobao FC,19,3300,GK
Leicester City,22,3301,CM
Akhisar Belediyespor,10,3302,LB
Deportes Tolima,18,3303,ST
Kayserispor,20,3304,CAM
KAS Eupen,77,3305,CAM
Rangers FC,4,3306,CB
Reading,17,3307,LW
FC Midtjylland,14,3308,CB
Botafogo,13,3309,LDM
Aston Villa,3,3310,RB
Chelsea,34,3311,RW
Colo-Colo,23,3312,CM
Jeonbuk Hyundai Motors,3,3313,CB
Moreirense FC,6,3314,CDM
AZ Alkmaar,26,3315,LCM
US Salernitana 1919,18,3316,RCM
Fenerbahçe SK,22,3317,ST
CD Universidad de Concepción,5,3318,RCB
Al Ittihad,9,3319,ST
OGC Nice,11,3320,RW
Shakhtar Donetsk,5,3321,CB
Benevento,81,3322,GK
ADO Den Haag,9,3323,ST
Sheffield Wednesday,15,3324,RCB
Kaizer Chiefs,8,3325,LS
Olympiacos CFP,66,3326,RCB
Vitória,13,3327,LDM
Sheffield United,19,3328,LWB
Levante UD,25,3329,GK
Newcastle United,14,3330,CDM
FC Utrecht,6,3331,CDM
Atlético Tucumán,22,3332,LM
Málaga CF,7,3333,LB
CA Osasuna,17,3334,ST
Feyenoord,22,3335,GK
Derby County,18,3336,RW
Godoy Cruz,8,3337,RW
Toulouse Football Club,8,3338,RM
New York Red Bulls,13,3339,RCM
Sparta Praha,28,3340,RB
AD Alcorcón,11,3341,ST
MKE Ankaragücü,90,3342,CDM
Dalian YiFang FC,28,3343,ST
Nottingham Forest,11,3344,LM
Sport Club do Recife,13,3345,LDM
Huddersfield Town,8,3346,LCM
AEK Athens,22,3347,ST
Internacional,14,3348,LB
Atlético Mineiro,19,3349,ST
Ceará Sporting Club,5,3350,LB
Birmingham City,23,3351,RM
Lech Pozna?,25,3352,LDM
Club Atlético Lanús,18,3353,LCB
Empoli,22,3354,LCB
MKE Ankaragücü,22,3355,RB
América de Cali,20,3356,LAM
La Equidad,9,3357,ST
FC Red Bull Salzburg,33,3358,GK
Vitesse,26,3359,CB
Defensa y Justicia,22,3360,GK
Real Zaragoza,8,3361,RS
Chapecoense,13,3362,LDM
Getafe CF,6,3363,LCB
Atlético Tucumán,10,3364,LM
1. FSV Mainz 05,11,3365,ST
Spezia,1,3366,GK
Aalborg BK,17,3367,RM
Sporting Kansas City,17,3368,RCM
FC Utrecht,19,3369,ST
Seattle Sounders FC,14,3370,LCB
Le Havre AC,8,3371,RM
Bristol City,21,3372,LCM
Hamburger SV,10,3373,ST
Real Valladolid CF,11,3374,LW
Ceará Sporting Club,6,3375,RDM
BSC Young Boys,18,3376,ST
IFK Norrköping,7,3377,RCM
Real Sporting de Gijón,6,3378,LCB
Real Valladolid CF,32,3379,RM
Middlesbrough,5,3380,RB
Vitória Guimarães,5,3381,LB
Club Atlético Colón,8,3382,CB
Sampdoria,12,3383,GK
Derby County,17,3384,LM
Fortuna Düsseldorf,31,3385,CDM
CD Palestino,28,3386,RCM
Independiente,10,3387,RDM
LOSC Lille,7,3388,ST
Chongqing Dangdai Lifan FC SWM Team,30,3389,LM
Stoke City,25,3390,ST
Rosenborg BK,28,3391,LW
Arsenal,26,3392,GK
CA Osasuna,10,3393,CAM
River Plate,11,3394,CAM
Vitória de Setúbal,15,3395,CM
Urawa Red Diamonds,30,3396,LS
Sivasspor,4,3397,RDM
Orlando Pirates,5,3398,LCM
Ajax,8,3399,LB
Cagliari,56,3400,RCB
Real Valladolid CF,4,3401,RCB
FC Metz,25,3402,RB
FC Ingolstadt 04,30,3403,RM
Santos,10,3404,LAM
Aston Villa,4,3405,RCB
Fortuna Düsseldorf,30,3406,GK
Godoy Cruz,29,3407,RB
1. FSV Mainz 05,13,3408,CDM
Deportes Tolima,10,3409,LW
Vélez Sarsfield,10,3410,RW
RC Strasbourg Alsace,23,3411,ST
San Lorenzo de Almagro,5,3412,LDM
OGC Nice,6,3413,CM
KSV Cercle Brugge,6,3414,RM
Real Oviedo,22,3415,ST
Górnik Zabrze,17,3416,LS
Clube Sport Marítimo,33,3417,LM
Juventus,18,3418,ST
Panathinaikos FC,1,3419,GK
Chievo Verona,31,3420,ST
Stoke City,9,3421,ST
Lech Pozna?,32,3422,ST
Jeonbuk Hyundai Motors,22,3423,LB
Cagliari,9,3424,ST
1. FC Union Berlin,19,3425,LCB
SK Rapid Wien,1,3426,GK
Galatasaray SK,5,3427,CB
Derby County,16,3428,CDM
Orlando Pirates,18,3429,RB
Al Shabab,25,3430,RCB
Shandong Luneng TaiShan FC,22,3431,LCM
Universidad Católica,11,3432,LCM
Frosinone,3,3433,LB
Monterrey,33,3434,RWB
Fiorentina,34,3435,RB
Yeni Malatyaspor,10,3436,LM
Real Zaragoza,6,3437,CB
Fulham,3,3438,RCM
1. FC Union Berlin,32,3439,CF
Vitória Guimarães,6,3440,CB
Club Brugge KV,35,3441,CB
Central Coast Mariners,44,3442,LS
Guizhou Hengfeng FC,9,3443,LS
Stade Rennais FC,29,3444,RB
Hamburger SV,20,3445,ST
KV Oostende,43,3446,CAM
Frosinone,11,3447,ST
Cruz Azul,13,3448,RW
CA Osasuna,14,3449,LM
Sport Club do Recife,7,3450,RAM
Manchester United,20,3451,RB
Deportivo de La Coruña,15,3452,RM
Brøndby IF,2,3453,RCB
Cádiz CF,8,3454,CAM
Cruzeiro,8,3455,CAM
Bursaspor,55,3456,CAM
Wigan Athletic,10,3457,CAM
Jagiellonia Bia?ystok,6,3458,LDM
Birmingham City,3,3459,LB
RC Strasbourg Alsace,23,3460,LWB
Al Ittihad,8,3461,LM
FC Utrecht,22,3462,CAM
Málaga CF,11,3463,RM
Queens Park Rangers,22,3464,RB
Club América,12,3465,LB
Club Brugge KV,1,3466,GK
West Bromwich Albion,11,3467,CM
Huddersfield Town,18,3468,ST
San Lorenzo de Almagro,14,3469,LM
Aston Villa,12,3470,GK
Cittadella,4,3471,CM
Kasimpa?a SK,8,3472,LCM
Derby County,20,3473,RCB
Botafogo,10,3474,LAM
Dijon FCO,7,3475,LM
Rosario Central,11,3476,LM
Málaga CF,1,3477,GK
Once Caldas,10,3478,RCM
Deportivo de La Coruña,18,3479,LS
FC Dallas,11,3480,LM
Guadalajara,4,3481,RCB
Botafogo,3,3482,RCB
Viktoria Plze?,17,3483,RCB
Celtic,27,3484,CDM
Hertha BSC,7,3485,RM
AEK Athens,31,3486,LM
FC Utrecht,8,3487,CDM
FC Groningen,10,3488,ST
Sheffield United,1,3489,GK
FC Girondins de Bordeaux,6,3490,CB
1. FC Union Berlin,23,3491,LCM
Club Atlético Lanús,19,3492,LCM
Sivasspor,88,3493,CDM
Alanyaspor,23,3494,CB
Club Atlas,3,3495,LCB
Dalian YiFang FC,30,3496,ST
SK Slavia Praha,4,3497,CB
US Cremonese,3,3498,LCB
Sporting Kansas City,8,3499,RB
Milan,4,3500,CM
Racing Club,30,3501,RCB
KRC Genk,17,3502,CDM
,17,3503,RM
Guizhou Hengfeng FC,1,3504,GK
SV Werder Bremen,3,3505,CB
Millonarios FC,9,3506,LM
Eintracht Frankfurt,34,3507,ST
Club Atlético Tigre,11,3508,CAM
Hibernian,5,3509,LCB
Real Valladolid CF,20,3510,ST
Club Atlas,8,3511,LCM
Benevento,27,3512,LW
Trabzonspor,61,3513,RM
Antalyaspor,66,3514,ST
Unión de Santa Fe,11,3515,RM
DC United,4,3516,RDM
Fortuna Düsseldorf,3,3517,CB
Excelsior,15,3518,RCB
Parma,93,3519,LW
Tigres U.A.N.L.,6,3520,LCB
Spartak Moscow,23,3521,LB
Stade de Reims,15,3522,RB
Rio Ave FC,15,3523,LCM
Atlético Nacional,13,3524,RB
Guangzhou Evergrande Taobao FC,29,3525,ST
FC Lugano,19,3526,LS
Ajax,18,3527,LW
Leicester City,17,3528,GK
San Martín de San Juan,1,3529,GK
Çaykur Rizespor,20,3530,RM
Strømsgodset IF,23,3531,LM
Panathinaikos FC,3,3532,LB
Crotone,25,3533,ST
Sporting de Charleroi,33,3534,CB
Vancouver Whitecaps FC,8,3535,RCM
Club Atlético Colón,11,3536,ST
San Lorenzo de Almagro,32,3537,CB
Seattle Sounders FC,24,3538,GK
Parma,9,3539,ST
En Avant de Guingamp,20,3540,CB
Clube Sport Marítimo,1,3541,GK
FC Utrecht,10,3542,RCM
Benevento,8,3543,RCM
BB Erzurumspor,10,3544,LM
CD Palestino,22,3545,ST
Sampdoria,29,3546,LB
Los Angeles FC,25,3547,LCB
Universidad Católica,2,3548,RCB
Club Atlético Tigre,6,3549,RCB
Júbilo Iwata,10,3550,CAM
Vitória de Setúbal,13,3551,LCB
Newell's Old Boys,7,3552,ST
Club Atlético Colón,15,3553,LM
Pachuca,2,3554,CB
América FC (Minas Gerais),7,3555,RAM
Ajax,12,3556,RB
Al Nassr,5,3557,RCB
Grasshopper Club Zürich,7,3558,CM
DC United,14,3559,RM
Norwich City,17,3560,RM
Racing Club de Lens,27,3561,CDM
,3,3562,RCB
CD Feirense,4,3563,RCB
Universidad Católica,7,3564,ST
Estudiantes de La Plata,5,3565,RM
FC Dallas,20,3566,LM
Grêmio,11,3567,ST
Club Atlético Colón,31,3568,LB
Górnik Zabrze,7,3569,LCM
Antalyaspor,3,3570,LCB
Panathinaikos FC,2,3571,RB
Vitória Guimarães,30,3572,LM
Alanyaspor,5,3573,CDM
Belgrano de Córdoba,14,3574,CDM
Defensa y Justicia,6,3575,LCB
Nîmes Olympique,11,3576,LCM
CD Nacional,13,3577,GK
New York City FC,12,3578,CM
Alanyaspor,7,3579,RM
US Salernitana 1919,8,3580,CM
AJ Auxerre,23,3581,RM
Universidad de Chile,9,3582,ST
Godoy Cruz,21,3583,LB
Sassuolo,10,3584,ST
Deportes Tolima,20,3585,LB
Chapecoense,11,3586,ST
Real Sporting de Gijón,15,3587,LB
Club Atlético Tigre,10,3588,LM
BB Erzurumspor,11,3589,RM
Benevento,15,3590,RCB
Fortuna Düsseldorf,6,3591,CM
SD Huesca,12,3592,ST
SC Freiburg,9,3593,ST
1. FC Union Berlin,15,3594,CB
Al Faisaly,9,3595,CAM
Beijing Sinobo Guoan FC,10,3596,RF
CD Aves,30,3597,RCM
Huddersfield Town,17,3598,LM
FC Lorient,25,3599,LB
Gimnàstic de Tarragona,9,3600,CB
Stade Malherbe Caen,7,3601,CAM
AIK,36,3602,LS
Colorado Rapids,1,3603,GK
IF Elfsborg,34,3604,ST
En Avant de Guingamp,18,3605,CDM
Aalborg BK,10,3606,LS
SV Sandhausen,6,3607,RDM
Toulouse Football Club,1,3608,GK
Vitória de Setúbal,6,3609,RCB
Al Batin,18,3610,LS
Club Atlético Huracán,28,3611,RB
AS Monaco,11,3612,CM
Junior FC,1,3613,GK
Club León,10,3614,CAM
Club Atlético Huracán,24,3615,LM
PAOK,22,3616,RM
Kayserispor,18,3617,LM
Borussia Mönchengladbach,27,3618,CM
Atlético Tucumán,5,3619,RDM
Frosinone,20,3620,LCM
VVV-Venlo,31,3621,LCM
Amiens SC,5,3622,LDM
Club Atlético Banfield,8,3623,LM
Swansea City,22,3624,GK
,17,3625,RW
Toulouse Football Club,20,3626,RB
Fluminense,14,3627,CDM
Aalborg BK,5,3628,RCB
Stade Malherbe Caen,18,3629,ST
,6,3630,LB
,12,3631,GK
Wigan Athletic,25,3632,CAM
Real Oviedo,3,3633,CB
Fluminense,7,3634,RCM
Al Qadisiyah,6,3635,LCB
Stade Brestois 29,10,3636,ST
Sheffield United,5,3637,CB
Boca Juniors,20,3638,LB
Standard de Liège,6,3639,CB
Defensa y Justicia,28,3640,CM
Heart of Midlothian,23,3641,CAM
Cruzeiro,10,3642,RAM
Boavista FC,33,3643,ST
UD Las Palmas,5,3644,RCB
Club León,4,3645,CB
AZ Alkmaar,11,3646,LW
Guangzhou Evergrande Taobao FC,20,3647,LM
Jeonbuk Hyundai Motors,26,3648,RCB
1. FC Union Berlin,24,3649,CDM
Bursaspor,8,3650,RDM
Unión de Santa Fe,10,3651,LM
PAOK,18,3652,RM
UD Almería,1,3653,GK
Udinese,22,3654,GK
Aalborg BK,1,3655,GK
Sporting CP,20,3656,LB
Gyeongnam FC,9,3657,ST
Sampdoria,7,3658,RB
Angers SCO,25,3659,RWB
Houston Dynamo,31,3660,LM
Bahia,9,3661,ST
CD Leganés,26,3662,LS
VfL Wolfsburg,24,3663,RB
Hellas Verona,7,3664,RW
América FC (Minas Gerais),9,3665,ST
Atlético Nacional,20,3666,LM
KV Kortrijk,9,3667,LS
1. FC Union Berlin,9,3668,ST
FC St. Pauli,20,3669,LM
Yokohama F. Marinos,20,3670,RM
Kilmarnock,9,3671,ST
Sivasspor,20,3672,RB
Shakhtar Donetsk,17,3673,CDM
Racing Club,28,3674,RM
Dynamo Kyiv,10,3675,CAM
FC Metz,21,3676,LCB
Sampdoria,19,3677,LB
Club América,21,3678,ST
Foggia,18,3679,RS
Vitória,9,3680,ST
Kasimpa?a SK,3,3681,CB
Club Atlético Tigre,5,3682,RDM
Deportivo Alavés,17,3683,LB
FC Barcelona,21,3684,CM
SK Sturm Graz,35,3685,LCB
Malmö FF,6,3686,LCM
Nîmes Olympique,30,3687,GK
Sport Club do Recife,11,3688,ST
Derby County,9,3689,ST
Club Necaxa,7,3690,RM
US Cremonese,18,3691,CM
Vancouver Whitecaps FC,20,3692,RM
Portland Timbers,33,3693,RCB
Stade de Reims,5,3694,LCB
CD Everton de Viña del Mar,9,3695,ST
Malmö FF,10,3696,ST
Dynamo Kyiv,30,3697,CB
Pescara,16,3698,CM
Vitória,11,3699,ST
Juventus,21,3700,GK
Rangers FC,13,3701,GK
Once Caldas,4,3702,CDM
Nîmes Olympique,10,3703,LM
Kashiwa Reysol,26,3704,ST
SC Braga,19,3705,RM
Norwich City,19,3706,CDM
Bayer 04 Leverkusen,11,3707,ST
Godoy Cruz,6,3708,LCB
BSC Young Boys,16,3709,RM
,16,3710,RW
Deportivo de La Coruña,7,3711,RS
Medipol Ba?ak?ehir FK,34,3712,GK
Bristol City,3,3713,LCB
Nîmes Olympique,23,3714,RCB
Bursaspor,12,3715,CB
Sparta Praha,19,3716,CB
FC Ingolstadt 04,7,3717,RDM
Vitória Guimarães,49,3718,ST
Al Ahli,17,3719,LCB
FC Dallas,8,3720,CDM
Tiburones Rojos de Veracruz,1,3721,GK
West Bromwich Albion,7,3722,LCM
Tottenham Hotspur,6,3723,CB
Querétaro,11,3724,RW
CD Tenerife,8,3725,LM
Newcastle Jets,10,3726,CAM
Fortuna Düsseldorf,10,3727,ST
KAA Gent,21,3728,LB
Atlanta United,24,3729,RM
Central Coast Mariners,10,3730,LM
Minnesota United FC,12,3731,RDM
Club Atlético Colón,23,3732,RM
Brentford,14,3733,RB
West Bromwich Albion,18,3734,CDM
Unión de Santa Fe,33,3735,LCB
,12,3736,GK
Stade Malherbe Caen,4,3737,CDM
Al Hilal,12,3738,LB
FC København,20,3739,LB
Kasimpa?a SK,5,3740,LCB
Club Atlético Lanús,1,3741,GK
Amiens SC,11,3742,RM
Göztepe SK,17,3743,RDM
Independiente Santa Fe,22,3744,GK
GD Chaves,19,3745,RCB
FC Utrecht,15,3746,RCB
Newell's Old Boys,24,3747,LCB
Viktoria Plze?,16,3748,GK
Sporting de Charleroi,8,3749,LCB
Brentford,23,3750,CB
Clube Sport Marítimo,95,3751,ST
Spezia,19,3752,RCB
